data_name,train,val,test
AllFields_Resultats_MESH_1.h5,1,0,0
AllFields_Resultats_MESH_11.h5,1,0,0
AllFields_Resultats_MESH_119-1.h5,1,0,0
AllFields_Resultats_MESH_119-2.h5,1,0,0
AllFields_Resultats_MESH_120.h5,1,0,0
AllFields_Resultats_MESH_121.h5,1,0,0
AllFields_Resultats_MESH_128.h5,1,0,0
AllFields_Resultats_MESH_129.h5,1,0,0
AllFields_Resultats_MESH_134.h5,1,0,0
AllFields_Resultats_MESH_135.h5,1,0,0
AllFields_Resultats_MESH_136.h5,1,0,0
AllFields_Resultats_MESH_137.h5,1,0,0
AllFields_Resultats_MESH_138.h5,1,0,0
AllFields_Resultats_MESH_139.h5,1,0,0
AllFields_Resultats_MESH_140.h5,1,0,0
AllFields_Resultats_MESH_142.h5,1,0,0
AllFields_Resultats_MESH_144-2.h5,1,0,0
AllFields_Resultats_MESH_151.h5,1,0,0
AllFields_Resultats_MESH_152.h5,1,0,0
AllFields_Resultats_MESH_153.h5,1,0,0
AllFields_Resultats_MESH_155.h5,1,0,0
AllFields_Resultats_MESH_157.h5,1,0,0
AllFields_Resultats_MESH_158.h5,1,0,0
AllFields_Resultats_MESH_159.h5,1,0,0
AllFields_Resultats_MESH_160.h5,1,0,0
AllFields_Resultats_MESH_161.h5,1,0,0
AllFields_Resultats_MESH_162.h5,1,0,0
AllFields_Resultats_MESH_163-1.h5,1,0,0
AllFields_Resultats_MESH_163-2.h5,1,0,0
AllFields_Resultats_MESH_164.h5,1,0,0
AllFields_Resultats_MESH_165.h5,1,0,0
AllFields_Resultats_MESH_166.h5,1,0,0
AllFields_Resultats_MESH_167.h5,1,0,0
AllFields_Resultats_MESH_168-1.h5,1,0,0
AllFields_Resultats_MESH_170.h5,1,0,0
AllFields_Resultats_MESH_172.h5,1,0,0
AllFields_Resultats_MESH_173.h5,1,0,0
AllFields_Resultats_MESH_174.h5,1,0,0
AllFields_Resultats_MESH_175.h5,1,0,0
AllFields_Resultats_MESH_177.h5,1,0,0
AllFields_Resultats_MESH_178.h5,1,0,0
AllFields_Resultats_MESH_180.h5,1,0,0
AllFields_Resultats_MESH_181.h5,1,0,0
AllFields_Resultats_MESH_182-1.h5,1,0,0
AllFields_Resultats_MESH_182-2.h5,1,0,0
AllFields_Resultats_MESH_182-3.h5,1,0,0
AllFields_Resultats_MESH_183.h5,1,0,0
AllFields_Resultats_MESH_185.h5,1,0,0
AllFields_Resultats_MESH_186-1.h5,1,0,0
AllFields_Resultats_MESH_186-2.h5,1,0,0
AllFields_Resultats_MESH_187.h5,1,0,0
AllFields_Resultats_MESH_188.h5,1,0,0
AllFields_Resultats_MESH_189.h5,1,0,0
AllFields_Resultats_MESH_19.h5,1,0,0
AllFields_Resultats_MESH_191.h5,1,0,0
AllFields_Resultats_MESH_192.h5,1,0,0
AllFields_Resultats_MESH_193-1.h5,1,0,0
AllFields_Resultats_MESH_193-2.h5,1,0,0
AllFields_Resultats_MESH_194.h5,1,0,0
AllFields_Resultats_MESH_195.h5,1,0,0
AllFields_Resultats_MESH_196-1.h5,1,0,0
AllFields_Resultats_MESH_196-2.h5,1,0,0
AllFields_Resultats_MESH_198-1.h5,1,0,0
AllFields_Resultats_MESH_198-2.h5,1,0,0
AllFields_Resultats_MESH_199.h5,1,0,0
AllFields_Resultats_MESH_2.h5,1,0,0
AllFields_Resultats_MESH_200.h5,1,0,0
AllFields_Resultats_MESH_202.h5,1,0,0
AllFields_Resultats_MESH_204.h5,1,0,0
AllFields_Resultats_MESH_205.h5,1,0,0
AllFields_Resultats_MESH_206.h5,1,0,0
AllFields_Resultats_MESH_207.h5,1,0,0
AllFields_Resultats_MESH_208.h5,1,0,0
AllFields_Resultats_MESH_209.h5,1,0,0
AllFields_Resultats_MESH_210.h5,1,0,0
AllFields_Resultats_MESH_212.h5,1,0,0
AllFields_Resultats_MESH_213.h5,1,0,0
AllFields_Resultats_MESH_215.h5,1,0,0
AllFields_Resultats_MESH_219.h5,1,0,0
AllFields_Resultats_MESH_23.h5,1,0,0
AllFields_Resultats_MESH_25.h5,1,0,0
AllFields_Resultats_MESH_26.h5,1,0,0
AllFields_Resultats_MESH_28.h5,1,0,0
AllFields_Resultats_MESH_3.h5,1,0,0
AllFields_Resultats_MESH_31.h5,1,0,0
AllFields_Resultats_MESH_34.h5,1,0,0
AllFields_Resultats_MESH_42-1.h5,1,0,0
AllFields_Resultats_MESH_42-2.h5,1,0,0
AllFields_Resultats_MESH_42-3.h5,1,0,0
AllFields_Resultats_MESH_44.h5,1,0,0
AllFields_Resultats_MESH_54-1.h5,1,0,0
AllFields_Resultats_MESH_54-2.h5,1,0,0
AllFields_Resultats_MESH_55.h5,1,0,0
AllFields_Resultats_MESH_6.h5,1,0,0
AllFields_Resultats_MESH_9-1.h5,1,0,0
AllFields_Resultats_MESH_168-2.h5,0,1,0
AllFields_Resultats_MESH_203.h5,0,1,0
AllFields_Resultats_MESH_211.h5,0,1,0
AllFields_Resultats_MESH_214.h5,0,1,0
AllFields_Resultats_MESH_40.h5,0,1,0
AllFields_Resultats_MESH_117.h5,0,0,1
AllFields_Resultats_MESH_148.h5,0,0,1
AllFields_Resultats_MESH_171.h5,0,0,1
AllFields_Resultats_MESH_197.h5,0,0,1
AllFields_Resultats_MESH_217.h5,0,0,1
